['sh', 'sh600072', '2014-12-24', '10.3', '11.33', '10.25', '11.33', '10539731.0', '113151953.0', 1.0299999999999994]
['sh', 'sh600073', '2013-11-15', '9.07', '9.98', '9.07', '9.98', '17092926.0', '167856258.0', 0.9100000000000001]
['sh', 'sh600073', '2014-03-03', '7.96', '8.74', '7.91', '8.53', '35503080.0', '298790131.0', 0.5699999999999994]
['sh', 'sh600074', '2013-01-17', '3.98', '4.37', '3.98', '4.37', '19381053.0', '83293210.0', 0.3900000000000001]
['sh', 'sh600074', '2014-06-12', '5.3', '6.01', '5.25', '6.0', '84903152.0', '497513237.0', 0.7000000000000002]
['sh', 'sh600075', '2013-05-28', '7.79', '8.51', '7.7', '8.49', '42440278.0', '347764094.0', 0.7000000000000002]
['sh', 'sh600075', '2014-01-24', '6.32', '7.0', '6.32', '7.0', '16666384.0', '115125364.0', 0.6799999999999997]
['sh', 'sh600076', '2013-10-18', '5.0', '5.57', '4.91', '5.57', '22230678.0', '119772951.0', 0.5700000000000003]
['sh', 'sh600076', '2014-09-17', '6.81', '7.49', '6.74', '7.37', '24265082.0', '173724757.0', 0.5600000000000005]
['sh', 'sh600077', '2013-03-18', '6.18', '6.86', '6.04', '6.86', '60752114.0', '399107581.0', 0.6800000000000006]
['sh', 'sh600077', '2014-12-11', '6.32', '6.88', '6.28', '6.88', '24441599.0', '162637535.0', 0.5599999999999996]
['sh', 'sh600078', '2013-08-21', '6.27', '6.75', '6.27', '6.63', '20101384.0', '131316661.0', 0.3600000000000003]
['sh', 'sh600078', '2014-12-10', '7.12', '8.58', '7.12', '8.15', '116845807.0', '852552199.0', 1.0300000000000002]
['sh', 'sh600079', '2013-05-28', '25.95', '28.61', '25.89', '28.61', '12989335.0', '359989524.0', 2.66]
['sh', 'sh600079', '2014-03-13', '24.5', '26.22', '24.5', '25.98', '14822612.0', '379126151.0', 1.4800000000000004]
['sh', 'sh600080', '2013-09-05', '7.83', '8.61', '7.73', '8.61', '19260091.0', '162892464.0', 0.7799999999999994]
['sh', 'sh600080', '2014-02-24', '9.83', '10.84', '9.74', '10.84', '24870370.0', '258091285.0', 1.0099999999999998]
['sh', 'sh600081', '2013-10-09', '8.97', '9.97', '8.84', '9.97', '19026740.0', '183823014.0', 1.0]
['sh', 'sh600081', '2014-11-18', '14.08', '15.49', '14.04', '15.49', '12845264.0', '191883965.0', 1.4100000000000001]
['sh', 'sh600082', '2013-08-30', '4.85', '5.3', '4.78', '5.3', '80550271.0', '416117502.0', 0.4500000000000002]
['sh', 'sh600082', '2014-10-29', '6.16', '6.78', '6.1', '6.78', '48882766.0', '318577107.0', 0.6200000000000001]
['sh', 'sh600083', '2013-09-23', '7.39', '8.13', '7.29', '8.12', '9604510.0', '77067628.0', 0.7299999999999995]
['sh', 'sh600083', '2014-12-12', '10.2', '11.22', '10.03', '11.22', '11315869.0', '123884242.0', 1.0200000000000014]
['sh', 'sh600084', '2013-06-05', '5.12', '5.61', '5.06', '5.61', '37837679.0', '205573825.0', 0.4900000000000002]
['sh', 'sh600084', '2014-10-17', '5.46', '5.86', '5.36', '5.84', '33799305.0', '191318440.0', 0.3799999999999999]
['sh', 'sh600085', '2013-08-05', '23.2', '24.6', '23.2', '24.53', '21593994.0', '521157918.0', 1.3300000000000018]
['sh', 'sh600085', '2014-12-30', '20.9', '22.09', '20.8', '22.05', '25457468.0', '555349176.0', 1.1500000000000021]
['sh', 'sh600086', '2013-01-07', '21.4', '23.67', '21.3', '23.64', '16691235.0', '379928155.0', 2.240000000000002]
['sh', 'sh600086', '2014-12-12', '24.55', '26.07', '24.43', '26.05', '5561178.0', '140265722.0', 1.5]
['sh', 'sh600087', '2013-03-11', '1.57', '1.67', '1.56', '1.67', '63375205.0', '104518799.0', 0.09999999999999987]
['sh', 'sh600087', '2014-05-29', '0.75', '0.82', '0.75', '0.8', '88311765.0', '69880604.0', 0.050000000000000044]
['sh', 'sh600088', '2013-09-30', '22.88', '25.13', '22.5', '24.88', '24753361.0', '599612027.0', 2.0]
['sh', 'sh600088', '2014-10-24', '21.07', '23.0', '20.83', '22.86', '31335715.0', '710252486.0', 1.7899999999999991]
['sh', 'sh600089', '2013-10-21', '11.95', '13.04', '11.95', '13.04', '99374485.0', '1264671779.0', 1.0899999999999999]
['sh', 'sh600089', '2014-02-10', '9.55', '10.41', '9.55', '10.41', '85470606.0', '873455460.0', 0.8599999999999994]
['sh', 'sh600090', '2013-08-28', '7.06', '7.71', '7.06', '7.7', '38489686.0', '287276722.0', 0.6400000000000006]
['sh', 'sh600090', '2014-09-04', '7.63', '8.26', '7.59', '8.03', '20258971.0', '160903572.0', 0.39999999999999947]
['sh', 'sh600091', '2013-11-19', '5.05', '5.36', '5.02', '5.36', '4945423.0', '26075754.0', 0.3100000000000005]
['sh', 'sh600091', '2014-09-02', '6.21', '6.53', '6.21', '6.53', '3755005.0', '24422640.0', 0.3200000000000003]
